Frequency (Hz),Level (dB)
6503.027344,-55.66357
6546.09375,-55.478458
6589.160156,-63.741043
6632.226563,-67.454819
6675.292969,-67.560394
6718.359375,-58.54763
6761.425781,-54.374409
6804.492188,-59.65591
6847.558594,-67.395393
6890.625,-68.484673
6933.691406,-63.214603
6976.757813,-55.199577
7019.824219,-56.492584
7062.890625,-65.603653
7105.957031,-68.713402
7149.023438,-67.333351
7192.089844,-57.90329
7235.15625,-55.155239
7278.222656,-61.549133
7321.289063,-68.487389
7364.355469,-68.630852
7407.421875,-62.152054
7450.488281,-55.617363
7493.554688,-58.1721
7536.621094,-66.874352
7579.6875,-69.307503
7622.753906,-66.547417
7665.820313,-57.92094
7708.886719,-56.657444
7751.953125,-63.922558
7795.019531,-69.39975
7838.085938,-69.010796
7881.152344,-62.005264
7924.21875,-57.165844
7967.285156,-61.284412
8010.351563,-69.00618
8053.417969,-70.090721
8096.484375,-66.829025
8139.550781,-59.649105
8182.617188,-60.004135
8225.683594,-67.59864
8268.75,-70.463135
8311.816406,-69.61216
8354.882813,-63.697956
8397.949219,-60.643326
8441.015625,-65.78421
8484.082031,-70.778557
8527.148438,-70.963272
8570.214844,-67.928673
8613.28125,-62.924553
8656.347656,-64.802139
8699.414063,-70.686974
8742.480469,-71.876251
8785.546875,-70.761932
8828.613281,-65.695786
8871.679688,-64.637657
8914.746094,-69.655334
8957.8125,-71.636803
9000.878906,-72.244064
9043.945313,-68.651535
9087.011719,-65.38855
9130.078125,-68.353165
9173.144531,-71.323341
9216.210938,-72.92421
9259.277344,-70.885124
9302.34375,-65.901405
9345.410156,-66.665466
9388.476563,-71.352562
9431.542969,-73.114098
9474.609375,-73.000549
9517.675781,-67.491928
9560.742188,-65.410408
9603.808594,-69.893135
9646.875,-72.866508
9689.941406,-73.881439
9733.007813,-69.905159
9776.074219,-64.857788
9819.140625,-66.944885
9862.207031,-72.448624
9905.273438,-73.942291
9948.339844,-72.366142
9991.40625,-65.668488
10034.47266,-64.463997
10077.53906,-69.593536
10120.60547,-73.32312
10163.67188,-73.244743
10206.73828,-67.793694
10249.80469,-63.324329
10292.87109,-65.96817
10335.9375,-71.671585
10379.00391,-73.05275
10422.07031,-70.194267
10465.13672,-63.934734
10508.20313,-63.516052
10551.26953,-68.989632
10594.33594,-72.566269
10637.40234,-71.464478
10680.46875,-66.099564
10723.53516,-62.742668
10766.60156,-66.305237
10809.66797,-71.576324
10852.73438,-72.208565
