Frequency (Hz),Level (dB)
13781.25,-114.652702
13824.31641,-116.616508
13867.38281,-119.877968
13910.44922,-116.780602
13953.51563,-114.96022
13996.58203,-116.432266
14039.64844,-119.947403
14082.71484,-117.729347
14125.78125,-114.977425
14168.84766,-116.016182
14211.91406,-118.437386
14254.98047,-117.431
14298.04688,-115.424232
14341.11328,-115.986061
14384.17969,-118.625984
14427.24609,-117.457436
14470.3125,-116.554298
14513.37891,-117.086479
14556.44531,-119.302887
14599.51172,-117.167564
14642.57813,-116.888321
14685.64453,-117.166069
14728.71094,-119.553284
14771.77734,-118.565559
14814.84375,-117.362823
14857.91016,-116.585037
14900.97656,-118.52224
14944.04297,-118.898735
14987.10938,-118.242409
15030.17578,-116.627686
15073.24219,-118.369301
15116.30859,-118.886314
15159.375,-117.541069
15202.44141,-116.416916
15245.50781,-118.384338
15288.57422,-119.17897
15331.64063,-117.548141
15374.70703,-116.994278
15417.77344,-118.885963
15460.83984,-118.134857
15503.90625,-117.068077
15546.97266,-117.355972
15590.03906,-118.57579
15633.10547,-117.806793
15676.17188,-117.076355
15719.23828,-117.552612
15762.30469,-118.641586
15805.37109,-121.093124
15848.4375,-120.262772
15891.50391,-117.579834
15934.57031,-118.138031
15977.63672,-121.178329
16020.70313,-120.540428
16063.76953,-118.465828
16106.83594,-119.191284
16149.90234,-120.667519
16192.96875,-118.767944
16236.03516,-118.229187
16279.10156,-119.775009
16322.16797,-120.878967
16365.23438,-118.920547
16408.30078,-118.175011
16451.36719,-118.923271
16494.43359,-120.363144
16537.5,-119.908134
16580.56641,-121.935638
16623.63281,-132.195648
16666.69922,-140.106277
16709.76563,-140.857529
16752.83203,-142.641235
16795.89844,-144.360718
16838.96484,-144.706833
16882.03125,-144.437943
16925.09766,-145.591644
16968.16406,-147.659363
17011.23047,-148.225601
17054.29688,-148.468079
17097.36328,-149.348236
17140.42969,-151.104813
17183.49609,-151.82515
17226.5625,-151.588654
17269.62891,-151.560669
17312.69531,-152.113007
17355.76172,-153.319534
17398.82813,-152.54277
17441.89453,-151.305588
17484.96094,-152.115738
17528.02734,-153.506165
17571.09375,-151.5177
17614.16016,-150.064697
17657.22656,-151.72374
17700.29297,-152.205582
17743.35938,-151.624542
17786.42578,-150.316422
17829.49219,-151.145676
17872.55859,-150.872665
17915.625,-150.552505
17958.69141,-151.275635
18001.75781,-151.72905
18044.82422,-152.039581
18087.89063,-150.304092
18130.95703,-150.932724
18174.02344,-151.876282
18217.08984,-152.829468
18260.15625,-153.000046
18303.22266,-152.222321
18346.28906,-152.509491
18389.35547,-152.835083
18432.42188,-152.640121
18475.48828,-152.547333
18518.55469,-153.250854
18561.62109,-154.1698
18604.6875,-153.99263
18647.75391,-152.341568
18690.82031,-151.238602
18733.88672,-152.081116
18776.95313,-152.346436
18820.01953,-152.962921
18863.08594,-153.319427
18906.15234,-153.700989
18949.21875,-154.203033
18992.28516,-154.191376
19035.35156,-153.034485
19078.41797,-152.583786
19121.48438,-153.180893
19164.55078,-153.418762
19207.61719,-154.342621
19250.68359,-153.018478
19293.75,-153.171722
19336.81641,-152.635239
19379.88281,-152.330368
19422.94922,-151.249756
19466.01563,-152.720352
19509.08203,-152.761581
19552.14844,-151.991974
19595.21484,-150.119247
19638.28125,-152.034103
19681.34766,-153.250961
19724.41406,-152.623764
19767.48047,-153.141266
19810.54688,-152.805832
19853.61328,-153.106827
19896.67969,-153.021957
19939.74609,-152.917435
19982.8125,-154.68483
20025.87891,-158.945953
20068.94531,-163.237305
20112.01172,-165.428329
20155.07813,-169.911438
20198.14453,-174.635132
20241.21094,-178.461517
20284.27734,-178.547989
20327.34375,-179.272614
20370.41016,-180.085373
20413.47656,-181.066559
20456.54297,-186.573685
20499.60938,-192.453796
20542.67578,-196.307251
20585.74219,-195.962006
20628.80859,-197.152313
20671.875,-199.469131
20714.94141,-203.686142
20758.00781,-202.29335
20801.07422,-201.447006
20844.14063,-203.378006
20887.20703,-206.227997
20930.27344,-206.767227
20973.33984,-205.530411
21016.40625,-205.273911
21059.47266,-207.921982
21102.53906,-210.881149
21145.60547,-206.880173
21188.67188,-203.941757
21231.73828,-208.723297
21274.80469,-212.371002
21317.87109,-195.0112
21360.9375,-191.402405
21404.00391,-200.278458
