Frequency (Hz),Level (dB)
19250.68359,-140.375381
19293.75,-140.932312
19336.81641,-139.894409
19379.88281,-138.486237
19422.94922,-139.605728
19466.01563,-138.60939
19509.08203,-136.943375
19552.14844,-137.805145
19595.21484,-138.419067
19638.28125,-139.091537
19681.34766,-140.379883
19724.41406,-139.026703
19767.48047,-137.806198
19810.54688,-139.81694
19853.61328,-140.344696
19896.67969,-139.806976
19939.74609,-140.123627
19982.8125,-141.402679
20025.87891,-146.943634
20068.94531,-154.822159
20112.01172,-156.386978
20155.07813,-158.081131
20198.14453,-162.563721
20241.21094,-166.561737
20284.27734,-168.482117
20327.34375,-169.585251
20370.41016,-170.321579
20413.47656,-173.725052
20456.54297,-177.662628
20499.60938,-181.297256
20542.67578,-183.665543
20585.74219,-185.983688
20628.80859,-186.211563
20671.875,-187.786621
20714.94141,-189.923935
20758.00781,-191.814377
20801.07422,-190.288864
20844.14063,-183.163681
20887.20703,-181.675095
20930.27344,-188.079559
20973.33984,-196.248962
21016.40625,-196.138168
21059.47266,-195.829071
21102.53906,-194.831192
21145.60547,-192.922272
21188.67188,-195.772461
21231.73828,-197.226807
21274.80469,-199.78418
21317.87109,-187.806595
21360.9375,-184.365479
21404.00391,-192.462616
21447.07031,-199.466324
21490.13672,-197.894257
21533.20313,-191.467133
21576.26953,-184.768585
21619.33594,-189.714844
21662.40234,-198.405396
21705.46875,-197.73616
21748.53516,-196.58638
21791.60156,-188.837311
21834.66797,-187.790497
21877.73438,-196.195984
21920.80078,-197.507401
21963.86719,-200.456345
22006.93359,-198.223434
