Frequency (Hz),Level (dB)
15590.03906,-98.475037
15633.10547,-98.708725
15676.17188,-99.215248
15719.23828,-99.890053
15762.30469,-100.184402
15805.37109,-100.044205
15848.4375,-99.787567
15891.50391,-99.835411
15934.57031,-99.774658
15977.63672,-99.82238
16020.70313,-99.919464
16063.76953,-99.716476
16106.83594,-99.699509
16149.90234,-100.007057
16192.96875,-100.266418
16236.03516,-100.586777
16279.10156,-100.505219
16322.16797,-99.916733
16365.23438,-99.704361
16408.30078,-99.571442
16451.36719,-99.805252
16494.43359,-99.838753
16537.5,-99.811134
16580.56641,-100.148277
16623.63281,-100.261765
16666.69922,-100.249573
16709.76563,-100.636444
16752.83203,-101.096794
16795.89844,-101.01458
16838.96484,-101.120728
16882.03125,-101.167793
16925.09766,-101.337448
16968.16406,-101.429413
17011.23047,-101.780067
17054.29688,-102.18222
17097.36328,-101.556252
17140.42969,-101.320786
17183.49609,-101.346291
17226.5625,-101.016495
17269.62891,-100.958679
17312.69531,-101.079269
17355.76172,-101.277176
17398.82813,-101.397369
17441.89453,-101.36705
17484.96094,-101.811638
17528.02734,-101.602364
17571.09375,-101.504791
17614.16016,-101.638794
17657.22656,-102.23999
17700.29297,-102.896713
17743.35938,-103.21991
17786.42578,-103.392174
17829.49219,-103.02829
17872.55859,-102.744713
17915.625,-103.215462
17958.69141,-103.406898
18001.75781,-103.181641
18044.82422,-102.845322
18087.89063,-103.130524
18130.95703,-103.581825
18174.02344,-103.859032
18217.08984,-104.013336
18260.15625,-101.962265
18303.22266,-101.522736
18346.28906,-104.151047
18389.35547,-104.348602
18432.42188,-103.964081
18475.48828,-104.262871
18518.55469,-104.257507
18561.62109,-103.940529
18604.6875,-103.48584
18647.75391,-103.750015
18690.82031,-104.299599
18733.88672,-104.321289
18776.95313,-104.061111
18820.01953,-104.049316
18863.08594,-103.866226
18906.15234,-103.847023
18949.21875,-104.081711
18992.28516,-104.342056
19035.35156,-104.33773
19078.41797,-104.059448
19121.48438,-103.810097
19164.55078,-104.377235
19207.61719,-104.513184
19250.68359,-104.286514
19293.75,-104.403046
19336.81641,-104.972458
19379.88281,-104.667336
19422.94922,-104.503281
19466.01563,-104.260078
19509.08203,-104.29908
19552.14844,-104.676361
19595.21484,-104.686218
19638.28125,-104.516159
19681.34766,-104.389198
19724.41406,-104.163635
19767.48047,-104.461349
19810.54688,-105.023567
19853.61328,-104.749931
19896.67969,-104.934982
19939.74609,-104.852142
19982.8125,-104.240028
20025.87891,-104.294525
20068.94531,-104.32309
20112.01172,-104.594048
20155.07813,-104.367043
20198.14453,-104.361633
20241.21094,-104.476974
20284.27734,-104.260391
