Frequency (Hz),Level (dB)
20671.875,-78.380043
20714.94141,-79.481194
20758.00781,-80.928772
20801.07422,-82.443565
20844.14063,-83.226967
20887.20703,-83.772003
20930.27344,-84.207474
20973.33984,-84.508492
21016.40625,-85.717072
21059.47266,-87.525345
21102.53906,-89.296692
21145.60547,-91.401955
21188.67188,-94.474243
21231.73828,-97.553925
21274.80469,-101.488792
21317.87109,-104.455864
21360.9375,-107.708961
21404.00391,-110.71357
21447.07031,-114.512955
21490.13672,-117.664261
21533.20313,-120.81295
21576.26953,-124.736023
21619.33594,-129.146957
21662.40234,-134.231598
21705.46875,-140.362015
21748.53516,-147.278854
21791.60156,-151.954178
21834.66797,-157.833694
21877.73438,-156.772781
21920.80078,-155.188828
21963.86719,-152.528183
22006.93359,-155.658936
