Frequency (Hz),Level (dB)
21188.67188,-96.954544
21231.73828,-98.288345
21274.80469,-100.990532
21317.87109,-103.542435
21360.9375,-106.194435
21404.00391,-110.214142
21447.07031,-113.315399
21490.13672,-117.368515
21533.20313,-121.294456
21576.26953,-127.023315
21619.33594,-132.370193
21662.40234,-137.303253
21705.46875,-143.777481
21748.53516,-150.44841
21791.60156,-157.647736
21834.66797,-164.846909
21877.73438,-162.790436
21920.80078,-156.784729
21963.86719,-152.360367
22006.93359,-157.516449
